species,percent
Acalypha_virginica_rhomboidea,0.083333333
Chamaecrista_fasciculata,0.083333333
Erechtites_hieracifolia,0.041666667
Polygonum_pensylvanicum,0.041666667
Veronica_peregrina,0.041666667
Conyza_canadensis,1.25
Achillea_millefolium,0.25
Apocynum_cannabinum,0.041666667
Asclepias_verticillata,0.041666667
Calystegia_sepium,0.25
Erigeron_strigosus,1.291666667
Euthamia_graminifolia,0.25
Heliopsis_helianthoides,0.541666667
Lycopus_americanus,0.25
Monarda_fistulosa,1.25
Physalis_heterophylla,0.083333333
Potentilla_norvegica,1.291666667
Ratibida_pinnata,3.291666667
Rudbeckia_hirta,4.5
Solidago_canadensis,2.125
Solidago_speciosa,0.291666667
Verbena_urticifolia,0.583333333
Viola_spp,0.041666667
Andropogon_gerardii,0.25
Bouteloua_curtipendula,0.291666667
Carex_vulpinoidea,0.041666667
Cyperus_esculentus,2.083333333
Elymus_canadensis,2.0
Juncus_spp,0.333333333
Koeleria_macrantha,0.041666667
Phalaris_arundinacea,0.041666667
Schizachyrium_scoparium,0.541666667
Scirpus_atrovirens,8.333333333
Sorghastrum_nutans,0.541666667
Tradescantia_ohiensis_bracteata,0.25
Abutilon_theophrasti,0.083333333
Setaria_spp,3.083333333
Daucus_carota,2.041666667
Verbascum_thapsus,0.041666667
Cirsium_arvense,0.25
Medicago_lupulina,0.291666667
Pastinaca_sativa,0.25
Rumex_crispus,1.875
Sida_spinosa,0.041666667
Taraxacum_officinale,0.5
Trifolium_hybridum,26.33333333
Agrostis_gigantea,0.291666667
Bromus_inermis,1.75
Poa_compressa_pratensis,22.29166667
Sanicula_spp,0.25
Verbena_spp,0.041666667
Unknown_dicot,0.041666667
