species,percent
Amaranthus_rudis,1.666666667
Panicum_capillare,0.5
Oenothera_biennis,1.541666667
Aster_pilosus,0.125
Epilobium_coloratum,0.041666667
Euphorbia_nutans,0.166666667
Geum_canadense,0.041666667
Oxalis_stricta,0.083333333
Potentilla_norvegica,0.625
Solanum_carolinense,0.041666667
Portulaca_oleracea,0.083333333
Thlaspi_arvense,0.041666667
Setaria_spp,0.416666667
Daucus_carota,0.25
Taraxacum_officinale,0.458333333
Trifolium_hybridum,0.041666667
Unknown_dicot,0.041666667
Cyperaceae_spp,0.083333333
