species,percent
Ambrosia_trifida,1.541666667
Chamaecrista_fasciculata,0.791666667
Erigeron_annuus,0.166666667
Polygonum_pensylvanicum,0.25
Conyza_canadensis,0.083333333
Oenothera_biennis,0.041666667
Acer_spp,0.041666667
Apocynum_cannabinum,2.75
Asclepias_syriaca,3.625
Aster_lanceolatus,0.25
Aster_pilosus,2.125
Calystegia_sepium,5.541666667
Heliopsis_helianthoides,2.083333333
Monarda_fistulosa,20.875
Oxalis_stricta,0.25
Pediomelum_argophyllum,0.25
Penstemon_digitalis,0.041666667
Potentilla_arguta,0.25
Potentilla_norvegica,0.083333333
Ratibida_pinnata,2.875
Rumex_altissimus,0.25
Silphium_perfoliatum,0.25
Solanum_americanum,0.041666667
Solidago_canadensis,16.25
Verbena_urticifolia,0.041666667
Andropogon_gerardii,3.083333333
Bouteloua_curtipendula,5.0
dichanthelium_oligosanthes,0.041666667
Elymus_canadensis,3.291666667
Muhlenbergia_spp,5.208333333
Phalaris_arundinacea,8.333333333
Schizachyrium_scoparium,0.291666667
Sorghastrum_nutans,3.291666667
Sporobolus_heterolepis,1.333333333
Tradescantia_ohiensis_bracteata,1.583333333
Abutilon_theophrasti,0.166666667
Chenopodium_album,0.416666667
Setaria_spp,3.166666667
Daucus_carota,13.16666667
Lactuca_serriola,0.083333333
Cirsium_arvense,4.041666667
Medicago_sativa,0.041666667
Melilotus_spp,0.666666667
Pastinaca_sativa,0.333333333
Rumex_crispus,0.041666667
Taraxacum_officinale,0.833333333
Trifolium_hybridum,0.5
Trifolium_repens,1.583333333
Bromus_inermis,6.125
Agropyron_repens,0.25
Festuca_arundinacea,0.25
Poa_compressa_pratensis,0.416666667
Asteraceae_spp,0.041666667
Unknown_dicot,0.041666667
Cyperaceae_spp,0.291666667
