species,percent
Amaranthus_rudis,0.041666667
Ambrosia_artemisiifolia,0.125
Erigeron_annuus,0.083333333
Polygonum_pensylvanicum,0.583333333
Conyza_canadensis,0.041666667
Apocynum_cannabinum,0.041666667
Aster_lanceolatus,0.25
Aster_pilosus,4.041666667
Brickellia_eupatorioides,0.041666667
Calystegia_sepium,0.791666667
Cornus_spp,0.25
Heliopsis_helianthoides,0.25
Monarda_fistulosa,6.375
Oxalis_stricta,0.041666667
Physalis_heterophylla,1.25
Solidago_canadensis,6.416666667
Toxicodendron_radicans,9.833333333
Verbena_urticifolia,0.25
Vitis_riparia,1.25
Andropogon_gerardii,4.333333333
Bouteloua_curtipendula,0.25
Cyperus_esculentus,4.375
Elymus_canadensis,1.0
Juncus_spp,0.291666667
Phalaris_arundinacea,8.333333333
Sorghastrum_nutans,6.541666667
Tradescantia_ohiensis_bracteata,3.083333333
Tridens_flavus,0.5
Abutilon_theophrasti,0.125
Chenopodium_album,0.083333333
Setaria_spp,3.375
Daucus_carota,1.25
Cirsium_arvense,0.791666667
Melilotus_spp,0.25
Pastinaca_sativa,1.458333333
Rumex_crispus,0.041666667
Sida_spinosa,0.25
Taraxacum_officinale,0.333333333
Trifolium_repens,0.041666667
Bromus_inermis,3.791666667
Poa_compressa_pratensis,60.625
Asteraceae_spp,0.041666667
