Plant_Species,Life_History_Trait,Interim1_Prairie,Interim2_Prairie,Orbweaver1_Prairie,Orbweaver2_Prairie,Basswood1_Prairie,Basswood2_Prairie,Basswood3_Prairie,Basswood4_Prairie,Basswood5_Prairie
Acalypha_virginica_rhomboidea,NAD,0.25,0,0,0,0,0.083333333,0.041666667,0,0
Amaranthus_rudis,NAD,2.041666667,0,1.541666667,0.083333333,0,0,0.041666667,0.458333333,0.166666667
Ambrosia_artemisiifolia,NAD,0,1.25,5.25,0,0,0,0,0,0.25
Ambrosia_trifida,NAD,3.625,0.25,0.541666667,0,0,0,0,0,0
Bidens_frondosa,NAD,0,0,0,0,0,0,0,0,1.25
Chamaecrista_fasciculata,NAD,0.291666667,1.666666667,0.333333333,1.083333333,2.25,4.291666667,1.125,0.583333333,0
Erechtites_hieracifolia,NAD,0,0,0,0,0,0,0.041666667,0,0
Erigeron_annuus,NAD,1.875,0,0,0,0.5,0.541666667,0.291666667,0.083333333,0.291666667
Euphorbia_dentata,NAD,0,0,0,3.375,0,0,0,0,0
Galium_aparine,NAD,0,0,0,0,0,0,0,0,0
Parietaria_pensylvanica,NAD,0,0,0,0,0,0,0,0,0
Polygonum_pensylvanicum,NAD,4.708333333,0.083333333,3.333333333,4.5,0.291666667,0.333333333,0.625,0.083333333,0.458333333
Triodanis_perfoliata,NAD,0,0,0,0,0,0,0,0,0
Veronica_peregrina,NAD,0,0,0,0,0,0,0,0,0
Panicum_capillare,NAM,0,0.25,0,0,11.16666667,34.04166667,26.70833333,28.375,18.875
Cirsium_altissimum,NBD,0,0.5,0,0.25,0,0,0,0,0.041666667
Conyza_canadensis,NBD,0.291666667,0.416666667,0.916666667,4.541666667,0.375,1.291666667,0.416666667,0.916666667,0.583333333
Gaura_biennis,NBD,1.25,0.041666667,0,0,0,0.25,0.25,1.291666667,1.541666667
Lactuca_floridana,NBD,0,0,0,0,0,0,0,0,0
Oenothera_biennis,NBD,0,0,0,0.25,0,0,0,0,0
Acer_spp,NPD,0,0,0,0,0,0.041666667,0,0,0
Achillea_millefolium,NPD,0,0,0,0,0,0,0,0,0
Agrimonia_gryposepala,NPD,0,0,0,0,0,0,0,0,0
Alnus_rugosa,NPD,0,0,0,0,0,0,0,0,0
Anemone_canadensis,NPD,0,0,0,0,0,0,0,0,0
Antennaria_spp,NPD,0,0,0,0,0,0,0,0,0
Apocynum_cannabinum,NPD,0,0.291666667,0.041666667,1.291666667,0,0,0,0,0
Asclepias_syriaca,NPD,0,0.5,0,0,0,0,0.041666667,0.041666667,0
Asclepias_verticillata,NPD,0,0,0,0,0,0,0,0,0
Aster_ericoides,NPD,0,0,0,0,0,0,0,0,0
Aster_lanceolatus,NPD,0,0,0,0,0,0,0,0,0
aster_lateriflorus,NPD,0,0,0,0,0,0,0,0,0
Aster_novae-angliae,NPD,0,0,0,0,0,0,0,0,0
Aster_ontarionis,NPD,0,0,0,0,0,0,0,0,0
Aster_pilosus,NPD,0.25,0,0,0,0,0,0,0,0.25
Brickellia_eupatorioides,NPD,0,0,0,0,0,0,0,0,0
Calystegia_sepium,NPD,7.625,1.583333333,0.25,0.041666667,0.25,0.041666667,0.25,0.041666667,0.291666667
Cirsium_discolor,NPD,0,0,0,0,0,0,0,0,0
Cornus_spp,NPD,0,0,0,0,0,0,0,0,0.083333333
Crataegus_spp,NPD,0,0,0,0,0,0,0,0,0
Cynanchum_laeve,NPD,0,0,0,1.291666667,0,0,0,0,0
Echinacea_pallida,NPD,0,0.083333333,0,0.041666667,0,0,0,0,0
epilobium_coloratum,NPD,0,0,0,0,0,0,0,0,0
Erigeron_strigosus,NPD,0,0,0.25,0,0,0,0,0.333333333,0.333333333
Eryngium_yuccifolium,NPD,0,0,0,0,0,0,0,0,0
Euphorbia_nutans,NPD,0.041666667,0.083333333,0,0.083333333,0.083333333,0.041666667,0.041666667,0,0.041666667
Euthamia_graminifolia,NPD,0,0,0,0,0,0,0,0,0
Fragaria_virginiana,NPD,0,0,0,0,0,0,0,0,0
Fraxinus_pennsylvanica,NPD,0,0,0,0,0,0,0,0,0
Geum_canadense,NPD,0,0,0,0,0,0,0,0,0
Gleditsia_triacanthos,NPD,0,0,0,0,0,0,0,0,0
Heliopsis_helianthoides,NPD,0.25,0,0,1.291666667,0,0,0,0,0
Heuchera_americana,NPD,0,0,0,0,0,0,0,0,0
Lespedeza_capitata,NPD,0,0,0,0,0,0,0,0,0
Ludwigia_palustris,NPD,0,0,0,0,0,0,0,0,0
Lycopus_americanus,NPD,0,0,0,0,0,0,0.25,0,0
Lycopus_virginicus,NPD,0.041666667,0,0,0.25,0,0,0.041666667,0,0.083333333
Lythrum_alatum,NPD,0,0,0,0,0,0,0,0,0
Monarda_fistulosa,NPD,1.25,1.333333333,0.291666667,2.75,1.083333333,0.041666667,0.041666667,0.041666667,0
Oxalis_stricta,NPD,2.041666667,0,0.125,0,1,0.708333333,0.666666667,0.791666667,2.041666667
Parthenocissus_quinquefolia,NPD,0,0,0,0,0,0,0,0,0
Pediomelum_argophyllum,NPD,0,0,0,0,0,0,0,0,0
Penstemon_digitalis,NPD,0,0,0,0,0,0,0,0,0
Penthorum_sedoides,NPD,0,0,0,0,0,0,0,0.041666667,0
Physalis_heterophylla,NPD,0.541666667,0,0,0.25,0.041666667,0.291666667,0,0.541666667,0
Physalis_virginiana,NPD,0,0,0,0,0,0,0,0,0
Physostegia_virginiana,NPD,0,0,0,0,0,0,0,0,0
Plantago_rugelii,NPD,0,0,1.25,0,0,0.041666667,0.041666667,0.041666667,0.083333333
Polygonum_amphibium,NPD,0,0,0,0,0,0,0,0,0
Populus_deltoides,NPD,0,0,0,0,0,0,0,0,0
Potentilla_arguta,NPD,0,0,0,0,0,0,0,0,0
Potentilla_norvegica,NPD,0.75,0.5,0.583333333,0,3.125,3.083333333,0.041666667,1.833333333,0.75
Potentilla_simplex,NPD,0,0,0,0,0,0,0,0,0
Prunus_serotina,NPD,0,0,0,0,0,0,0,0,0
Ratibida_pinnata,NPD,2.541666667,7,10.04166667,1.791666667,2.583333333,2.041666667,1.375,0.541666667,2.958333333
Rubus_spp,NPD,0,0,0,0,0,0,0,0,0
Rudbeckia_hirta,NPD,0.041666667,2.125,1.583333333,2.291666667,0.125,1.75,1.291666667,0.166666667,0.25
Rumex_altissimus,NPD,0,0,0,0,0,0,0,0,0
Salix_spp,NPD,0,0,0,0,0,0,0,0,0
Silphium_perfoliatum,NPD,0,0,0,0,0,0,0,0,0
Solanum_americanum,NPD,0.041666667,0,0.041666667,0,0,0,0,0,0
Solanum_carolinense,NPD,0,0,0,0,0.25,0,0.25,0,0
Solidago_canadensis,NPD,0.5,1.083333333,5.041666667,0.791666667,0.125,0.083333333,0,0.083333333,0.083333333
Solidago_rigida,NPD,0,0,0,0.041666667,0,0,0,0,0
Solidago_speciosa,NPD,0,0,0,0,0,0,0,0,0
Symphoricarpos_orbiculatus,NPD,0,0,0,0,0,0,0,0,0
Teucrium_canadense,NPD,0,0,0,0,0,0,0,0,0
Toxicodendron_radicans,NPD,0,0,0.25,0,0.25,0,0,0,2.541666667
Ulmus_rubra,NPD,0,0,0,0,0.25,0,0.25,0,0
Urtica_dioica,NPD,0,0.041666667,0,0,0,0,0,0,0
Verbena_hastata,NPD,0,0,0,0,0,0,0,0,0
Verbena_stricta,NPD,0,0,0,0,0.083333333,0.166666667,0.375,1.375,0.333333333
Verbena_urticifolia,NPD,0,0,0,0,0,0,0,0,0
Vernonia_baldwinii_fasciculata,NPD,0,0,0,0,0,0,0,0,0
Viola_spp,NPD,0,0,0,0,0,0,0,0,0
Vitis_riparia,NPD,0,0,0,0,0,0,0,0,0.041666667
Andropogon_gerardii,NPM,1.75,0,0.25,0.041666667,2.083333333,0.041666667,0,0.333333333,1.541666667
Bouteloua_curtipendula,NPM,3,3.833333333,0.541666667,3,0.25,0.5,0.25,2.5,0.5
Carex_frankii,NPM,0,0,0,0,0,0,0,0,0
Carex_vulpinoidea,NPM,0,0,0,0,0,0,0,0,0
Cyperus_esculentus,NPM,0,0,0.25,1.5,2.541666667,0.083333333,4.875,2.5,1.5
dichanthelium_oligosanthes,NPM,0,0,0,0,0,0,0,0,0
Elymus_canadensis,NPM,0.541666667,1.291666667,3.458333333,0.25,0,0,0.25,0,0.041666667
Elymus_virginicus,NPM,0,0,0,0,0,0,0,0,0
Juncus_spp,NPM,0,0,0,0,0.041666667,0,5.208333333,1.25,1.25
Koeleria_macrantha,NPM,0,0,0,0,0,0,0,0,0
Muhlenbergia_spp,NPM,0,0,0,0,0,0,0,0,0
Panicum_virgatum,NPM,0,0,0,0,0,0,0,0,0
Phalaris_arundinacea,NPM,0,0,0,0,0,0,0,0,0
Schizachyrium_scoparium,NPM,0.25,0.041666667,0,0,0.75,0.25,0.5,0.5,0.291666667
Scirpus_atrovirens,NPM,0,0,0,0,0,0,3.125,0,0
Sorghastrum_nutans,NPM,0,0,0.25,0,0,1.25,0.5,2.75,0
Sporobolus_asper,NPM,0,0,0,0,0,0,0,0,0
Sporobolus_heterolepis,NPM,0,0,0,0,0,0,0,0,0
Tradescantia_ohiensis_bracteata,NPM,0,0,0,0.25,0,0,0,0,0
Tridens_flavus,NPM,0,0,0,0,0,0,0,0,0
Abutilon_theophrasti,XAD,2.291666667,0.291666667,0.583333333,1.125,0.083333333,0,0.083333333,0.208333333,0.041666667
Amaranthus_retroflexus,XAD,1.25,0,0,0,0,0,0,0,0
Chenopodium_album,XAD,0.875,1.625,2,2.833333333,0.125,0.083333333,0.333333333,0,0
