Plant_Species,Life_History_Trait,Interim1_crop,Interim2_crop,Interim3_crop,Orbweaver1_crop,Orbweaver2_crop,Orbweaver3_crop,Basswood1_crop,Basswood2_crop,Basswood3_crop,Basswood4_crop,Basswood5_crop,Basswood6_crop
Acalypha_virginica_rhomboidea,NAD,0,0,0,0,0,0,0,0,0,0,0,0
Amaranthus_rudis,NAD,0,0,0,0.125,0.041666667,0,0.041666667,0.041666667,0.083333333,0.041666667,0.041666667,0.083333333
Ambrosia_artemisiifolia,NAD,0,0,0,0,0,0,0,0,0,0,0,0
Ambrosia_trifida,NAD,0,0,0,0,0,0,0,0,0,0,0,0
Chamaecrista_fasciculata,NAD,0,0,0,0,0,0,0,0,0,0,0,0
Erigeron_annuus,NAD,0,0,0,0,0,0,0,0,0,0,0,0
Euphorbia_dentata,NAD,0,0,0,0,0,0,0,0,0,0,0,0
Euphorbia_maculata,NAD,0,0,0,0,0,0,0,0,0,0,0,0
Galium_aparine,NAD,0,0,0,0,0,0,0.041666667,0,0,0.041666667,0,0
Parietaria_pensylvanica,NAD,0,0,0,0,0,0,0,0,0,0,0,0
Polygonum_pensylvanicum,NAD,0,0,0,0,0,0,0,0,0,0,0,0
Veronica_peregrina,NAD,0,0,0,0,0,0,0,0,0,0,0,0
Panicum_capillare,NAM,0,0,0,0,0,0,0,0.041666667,0.083333333,0.291666667,0.125,0.291666667
Conyza_canadensis,NBD,0,0,0.041666667,0,0,0,0,0,0,0,0,0
Gaura_biennis,NBD,0,0,0.041666667,0,0,0,0,0,0,0,0.083333333,0.041666667
Oenothera_biennis,NBD,0,0,0,0,0,0,0,0,0,0,0,0
Acer_negundo_saccharinum,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Apocynum_cannabinum,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Aster_pilosus,NPD,0,0,0,0,0,0,0.041666667,0,0,0,0.25,0
Cirsium_discolor,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Cornus_spp,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Crataegus_spp,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Epilobium_coloratum,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Erigeron_strigosus,NPD,0,0,0,0,0,0,0.25,0,0,0,0,0
Euphorbia_nutans,NPD,0,0,0,0,0,0,0,0,0,0,0,0.083333333
Geum_canadense,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Gleditsia_triacanthos,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Heuchera_americana,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Lespedeza_virginica,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Lycopus_americanus,NPD,0,0,0,0,0,0,0,0,0,0,0.125,0
Oxalis_stricta,NPD,0,0,0,0,0,0,0,0,0,0,0,0.041666667
Parthenocissus_quinquefolia,NPD,0,0,0,0,0,0,0.041666667,0.041666667,0,0,0,0
Physalis_heterophylla,NPD,0.041666667,0,0,0,0,0,0,0,0,0,0,0
Physalis_virginiana,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Plantago_rugelii,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla_norvegica,NPD,1.5,0.25,1.333333333,0,0,0,0.041666667,0,0,0.291666667,0.041666667,0.583333333
Prunus_serotina,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Ranunculus_abortivus,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Ratibida_pinnata,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Solanum_americanum,NPD,0,0,0,0,0,0,0,0,0,0,0.041666667,0.041666667
Solanum_carolinense,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Solidago_canadensis,NPD,0,0,0.041666667,0,0,0,0,0,0,0,0,0
Solidago_speciosa,NPD,0,0,0,0.041666667,0,0,0,0,0,0,0,0
Symphoricarpos_orbiculatus,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Tilia_spp,NPD,0,0,0,0,0,0,0.083333333,0,0,0,0,0
Ulmus_rubra,NPD,0,0,0,0,0,0,0,0,0,0,0,0.041666667
Viola_spp,NPD,0,0,0,0,0,0,0,0,0,0,0,0
Vitis_riparia,NPD,0,0,0,0,0,0,0,0,0,0.041666667,0,0
Andropogon_gerardii,NPM,0,0,0,0,0,0,0,0,0,0,0,0
Cyperus_esculentus,NPM,1.25,0,0.041666667,0.541666667,0,0,0,0.041666667,0,0.041666667,0,0.333333333
Juncus_spp,NPM,0,0,0,0.291666667,0,0,0,0,0,0,0,0.083333333
Equisetum_arvense,NPPteridophyte,0,0,0,0,0,0,0,0,0,0,0,0
Abutilon_theophrasti,XAD,0,0.041666667,0.333333333,0.166666667,0,0.041666667,0.041666667,0,0,0,0,0.041666667
Amaranthus_retroflexus,XAD,0,0,0.083333333,0,0.041666667,0,0,0,0,0,0,0
Chenopodium_album,XAD,0,0,0,0,0,0,0.041666667,0,0,0,0,0
Glycine_max,XAD,0,0,0,0,0,0,0,0,0,0,0,0
Hibiscus_trionum,XAD,0,0,0,0,0,0,0,0.041666667,0,0,0,0
Ipomoea_hederacea,XAD,0,0,0,0,0,0,0,0,0,0,0,0
Portulaca_oleracea,XAD,0,0,0,0,0,0,0,0,0,0,0,0
Salsola_iberica,XAD,0,0,0,0,0,0,0,0,0,0,0,0
Thlaspi_arvense,XAD,0,0,0,0,0,0,0,0.25,0,0,0,0
Digitaria_ischaemum,XAM,0,0,0,0,0,0,0,0,0,0,0,0
Echinochloa_crusgalli,XAM,0,0,0,0,0,0,0,0,0,0.25,0,0
Poa_annua,XAM,0,0,0,0,0,0,0,0,0,0,0,0
Setaria_spp,XAM,0,0,0,0,0,0,0,0,0,0.291666667,0,0.041666667
Zea_mays,XAM,0.25,0.291666667,0.25,0.25,0,0,0,0,0,0.25,0,0
Barbarea_vulgaris,XBD,0,0,0,0,0,0,0,0,0,0,0,0
Daucus_carota,XBD,0,0,0.083333333,0.083333333,0.25,0,0,0,0,0.041666667,0,0.25
Lactuca_serriola,XBD,0,0,0,0,0,0,0,0,0,0,0,0
Verbascum_thapsus,XBD,0,0,0,0,0,0,0,0,0,0,0,0
Convolvulus_arvensis,XPD,0,0,0,0,0,0,0,0,0,0,0,0
Lotus_corniculatus,XPD,0,0,0,0,0,0,0,0,0,0,0.041666667,0
Medicago_lupulina,XPD,0,0,0,0,0,0,0.041666667,0,0,0,0,0.083333333
Melilotus_spp,XPD,0,0,0.083333333,0,0,0,0,0,0,0,0,0.041666667
Pastinaca_sativa,XPD,0,0,0,0,0,0,0,0,0,0,0,0
Prunella_vulgaris,XPD,0,0,0,0,0,0,0,0,0,0,0,0
Rumex_crispus,XPD,0,0,0,0,0,0,0,0,0,0,0,0
Sida_spinosa,XPD,0,0,0,0.083333333,0,0,0,0,0.041666667,0,0.041666667,0.25
Taraxacum_officinale,XPD,0.375,0.125,0.333333333,5.791666667,5.833333333,0.333333333,0.208333333,0.958333333,0.208333333,0.333333333,0.125,0.083333333
Trifolium_hybridum,XPD,0,0,0,0,0,0,0,0.083333333,0,0,0,0
Trifolium_repens,XPD,0,0,0,0,0,0,0,0,0,0,0,0
Trifolium_pratense,XPD,0,0,0,0,0,0,0,0,0,0,0,0
Dactylis_glomerata,XPM,0,0,0,0,0,0,0,0,0,0,0,0
Phleum_pratense,XPM,0,0,0,0,0,0,0,0,0,0,0,0
Poa_compressa_pratensis,XPM,0,0,0,0.083333333,0,0,0,0,0,0,0,0
Sonchus_spp,X_D,0,0,0,0,0,0,0,0,0,0,0.041666667,0
Lepidium_spp,_BD,0,0,0,0,0,0,0.041666667,0,0,0,0,0
