species life_history_trait
Abutilon_theophrasti XAD
Acalypha_virginica_rhomboidea NAD
Acer_negundo_saccharinum NPD
Acer_spp NPD
Achillea_millefolium NPD
Agrimonia_gryposepala NPD
Agropyron_repens XPM
Agrostis_gigantea XPM
Agrostis_stolonifera XPM
Alnus_rugosa NPD
Amaranthus_retroflexus XAD
Amaranthus_rudis NAD
Ambrosia_artemisiifolia NAD
Ambrosia_trifida NAD
Andropogon_gerardii NPM
Anemone_canadensis NPD
Antennaria_spp NPD
Apiacea_spp D
Apocynum_cannabinum NPD
Arctium_minus XBD
Asclepias_syriaca NPD
Asclepias_verticillata NPD
Aster_ericoides NPD
Aster_lanceolatus NPD
aster_lateriflorus NPD
Aster_novae-angliae NPD
Aster_ontarionis NPD
Aster_pilosus NPD
Aster_spp D
Asteraceae_spp D
Barbarea_vulgaris XBD
Bidens_frondosa NAD
Bouteloua_curtipendula NPM
Brickellia_eupatorioides NPD
Bromus_inermis XPM
Bromus_japonicus XAM
Bromus_spp M
Calystegia_sepium NPD
Carex_frankii NPM
Carex_vulpinoidea NPM
Cerastium_spp _PD
Chamaecrista_fasciculata NAD
Chenopodium_album XAD
Cirsium_altissimum NBD
Cirsium_arvense XPD
Cirsium_discolor NPD
Cirsium_vulgare XBD
Convolvulus_arvensis XPD
Conyza_canadensis NBD
Cornus_spp NPD
Crataegus_spp NPD
Cynanchum_laeve NPD
Cyperaceae_spp M
Cyperus_esculentus NPM
Dactylis_glomerata XPM
Daucus_carota XBD
dichanthelium_oligosanthes NPM
Digitaria_ischaemum XAM
Echinacea_pallida NPD
Echinochloa_crusgalli XAM
Elymus_canadensis NPM
Elymus_virginicus NPM
epilobium_coloratum NPD
Epilobium_coloratum NPD
Equisetum_arvense NPPteridophyte
Erechtites_hieracifolia NAD
Erigeron_annuus NAD
Erigeron_spp N_D
Erigeron_strigosus NPD
Eryngium_yuccifolium NPD
Euphorbia_cyparissias XPD
Euphorbia_dentata NAD
Euphorbia_maculata NAD
Euphorbia_nutans NPD
Euthamia_graminifolia NPD
Festuca_arundinacea XPM
Fragaria_virginiana NPD
Fraxinus_pennsylvanica NPD
Galium_aparine NAD
Gaura_biennis NBD
Geum_canadense NPD
Gleditsia_triacanthos NPD
Glycine_max XAD
Helianthus_spp N_D
Heliopsis_helianthoides NPD
Heuchera_americana NPD
Hibiscus_trionum XAD
Ipomoea_hederacea XAD
Juncus_spp NPM
Koeleria_macrantha NPM
Lactuca_floridana NBD
Lactuca_serriola XBD
Lactuca_spp D
Lepidium_spp _BD
Lespedeza_capitata NPD
Lespedeza_cuneata XPD
Lespedeza_virginica NPD
Lonicera_spp _PD
Lotus_corniculatus XPD
Ludwigia_palustris NPD
Lycopus_americanus NPD
Lycopus_virginicus NPD
Lythrum_alatum NPD
Medicago_lupulina XPD
Medicago_sativa XPD
Melilotus_spp XPD
Monarda_fistulosa NPD
Morus_spp _PD
Muhlenbergia_spp NPM
Oenothera_biennis NBD
Oxalis_stricta NPD
Panicum_capillare NAM
Panicum_virgatum NPM
Parietaria_pensylvanica NAD
Parthenocissus_quinquefolia NPD
Pastinaca_sativa XPD
Pediomelum_argophyllum NPD
Penstemon_digitalis NPD
Penthorum_sedoides NPD
Phalaris_arundinacea NPM
Phleum_pratense XPM
Physalis_heterophylla NPD
Physalis_spp NPD
Physalis_virginiana NPD
Physostegia_virginiana NPD
Plantago_rugelii NPD
Poa_annua XAM
Poa_compressa_pratensis XPM
Poaceae_spp M
Polygonum_amphibium NPD
Polygonum_pensylvanicum NAD
Populus_deltoides NPD
Portulaca_oleracea XAD
Potentilla_arguta NPD
Potentilla_norvegica NPD
Potentilla_simplex NPD
Prunella_vulgaris XPD
Prunus_serotina NPD
Ranunculus_abortivus NPD
Ratibida_pinnata NPD
Rosa_spp _PD
Rubus_spp NPD
Rudbeckia_hirta NPD
Rumex_acetosella XPD
Rumex_altissimus NPD
Rumex_crispus XPD
Salix_spp NPD
Salsola_iberica XAD
Sanicula_spp NB_PD
Schizachyrium_scoparium NPM
Scirpus_atrovirens NPM
Setaria_spp XAM
Sida_spinosa XPD
Silphium_perfoliatum NPD
Solanum_americanum NPD
Solanum_carolinense NPD
Solidago_canadensis NPD
Solidago_rigida NPD
Solidago_speciosa NPD
solidago_spp NPD
Sonchus_spp X_D
Sorghastrum_nutans NPM
Sporobolus_asper NPM
Sporobolus_heterolepis NPM
Sporobolus_spp N_M
Symphoricarpos_orbiculatus NPD
Taraxacum_officinale XPD
Teucrium_canadense NPD
Thlaspi_arvense XAD
Tilia_spp NPD
Toxicodendron_radicans NPD
Tradescantia_ohiensis_bracteata NPM
Tridens_flavus NPM
Trifolium_hybridum XPD
Trifolium_pratense XPD
Trifolium_repens XPD
Triodanis_perfoliata NAD
Ulmus_rubra NPD
Ulmus_spp PD
Unknown_dicot D
Unknown_tree PD
Urtica_dioica NPD
Verbascum_thapsus XBD
Verbena_hastata NPD
Verbena_spp NPD
Verbena_stricta NPD
Verbena_urticifolia NPD
Vernonia_baldwinii_fasciculata NPD
Veronica_peregrina NAD
Viola_spp NPD
Vitis_riparia NPD
Zea_mays XAM
